,,,Slide ID,b,a,i,h,e,d,c,f,g
C1,no,Insulin,6.565656565656566,0.06743791524253465,0.007252768148715097,0.17601203121567682,0.0416767646498694,0.28562655542837667,0.00806734161723927,0.03344892355861265,0.060801979450262965,0.3001090738914564
C1,no,Insulin,7.070707070707071,0.06702226063918104,0.007197235648296244,0.17587511363180067,0.04142457452770129,0.28518313982072147,0.008001590817821133,0.03327415429449922,0.060530700644333364,0.29973691923499574
C1,no,Insulin,7.575757575757576,0.06676273227578496,0.007162548384320992,0.1757865972472749,0.04126707437426278,0.2848966378743417,0.007960550264840202,0.033164927769757026,0.060360959355072914,0.2994965571629024
C1,no,Insulin,8.080808080808081,0.06660030736927902,0.007140798497389341,0.17572935713121465,0.041168426143201986,0.28471149405826834,0.00793483132322582,0.033096479602270835,0.060254499522135664,0.29934125459910615
C1,no,Insulin,8.585858585858587,0.06649841505625675,0.007127117229214311,0.17569234121777277,0.041106473088556986,0.2845918389662522,0.00791866088654542,0.033053476123915404,0.060187572765710934,0.29924088864611453
C1,no,Insulin,9.090909090909092,0.06643435293213815,0.0071184883525379885,0.17566840658024993,0.04106747159246599,0.2845145075086841,0.007908465982146047,0.03302639600292309,0.06014540761551217,0.29917602168177276
C1,no,Insulin,9.595959595959597,0.06639397665330393,0.00711303200462239,0.17565292962011606,0.04104285612192352,0.284464520663841,0.007902021498681147,0.033009300420250166,0.06011877798594755,0.2991340896852318
C1,no,Insulin,10.101010101010102,0.06636847787908252,0.007109574724532769,0.17564292305227874,0.04102729009930618,0.28443221043298805,0.007897939256976492,0.03299848771681142,0.060101930586083645,0.29910698435291083
C1,no,Insulin,10.606060606060607,0.06635233988132702,0.007107379783394754,0.1756364534309187,0.04101742400150152,0.28441132449669615,0.007895348221005925,0.03299163300577044,0.06009124558694711,0.2990894620575278
C1,no,Insulin,11.111111111111112,0.06634210635278914,0.007105983551761518,0.1756322698827876,0.041011161165527936,0.2843978204361085,0.007893700368375008,0.03298728134953413,0.06008446264419372,0.29907813226685426
C1,no,Insulin,11.616161616161618,0.06633561293946731,0.007105095096191606,0.17562956776777217,0.0410071814797754,0.2843890990085252,0.007892652025169717,0.03298451563824061,0.06008014957882224,0.2990708147920952
C1,no,Insulin,12.121212121212121,0.06633147749647555,0.007104527752635993,0.1756278192431969,0.041004644401982454,0.28438345572142976,0.007891982696935975,0.03298275232086759,0.060077399534761475,0.2990660798063568
C1,no,Insulin,12.626262626262626,0.06632884511055034,0.007104165718676276,0.17562668984847887,0.04100302772026771,0.28437981077978974,0.007891555655046591,0.032981628577091596,0.06007564664915954,0.29906302145622565
C1,no,Insulin,13.131313131313131,0.06632717109150195,0.007103934960657488,0.17562596202411226,0.041001998621838655,0.28437746189324686,0.007891283502088115,0.03298091319212307,0.06007453058429502,0.2990610505486521
C1,no,Insulin,13.636363636363637,0.06632609507642827,0.007103786349148772,0.17562548902845004,0.04100133660863874,0.2843759354227383,0.007891108253232804,0.032980452954654293,0.06007381249260535,0.29905976970094017
C1,no,Insulin,14.141414141414142,0.06632540867897259,0.007103691359370949,0.17562518385990727,0.04100091392795849,0.2843749505874966,0.007890996252036842,0.0329801590779651,0.060073353876808115,0.2990589433242626
C1,no,Insulin,14.646464646464647,0.0663249706105819,0.0071036306311190464,0.1756249872147257,0.041000643964619776,0.2843743159806397,0.007890924656023124,0.03297997136806074,0.06007306089275601,0.2990584108210558
C1,no,Insulin,15.151515151515152,0.06632468500810462,0.007103590995795436,0.17562485825841856,0.04100046789635618,0.2843738998097522,0.007890877930468176,0.032979848942246086,0.060072869811452295,0.29905806160970044
C1,no,Insulin,15.656565656565657,0.06632450082301156,0.007103565398730526,0.17562477445758526,0.0410003543139872,0.28437362936127236,0.007890847756676835,0.03297976996352735,0.06007274658794678,0.2990578346743028
C1,no,Insulin,16.161616161616163,0.0663243833482353,0.007103549038864141,0.17562472037814553,0.04100028181538647,0.28437345484081594,0.007890828474394459,0.03297971954694022,0.06007266797002814,0.2990576882298799
C1,no,Insulin,16.666666666666668,0.06632431140716598,0.007103538998090318,0.17562468682920235,0.04100023734173604,0.2843733465866964,0.007890816642367566,0.03297968861130086,0.060072619720397145,0.2990575973888937
C1,no,Insulin,17.171717171717173,0.06632426340658576,0.007103532295931697,0.17562466438300472,0.04100020757716606,0.28437327416161967,0.007890808745653304,0.03297966789937122,0.0600725873079874,0.2990575366142508
C1,no,Insulin,17.67676767676768,0.0663242339895915,0.00710352818308157,0.17562465053983192,0.041000189236925846,0.2843732294914819,0.007890803900700799,0.03297965513202607,0.06007256716263411,0.2990574991307663
C1,no,Insulin,18.181818181818183,0.06632421610652,0.007103525676933206,0.17562464205120182,0.04100017801185446,0.2843732020906781,0.007890800948802925,0.03297964731908331,0.06007255461521777,0.29905747613904593
C1,no,Insulin,18.68686868686869,0.06632420444667785,0.007103524039860006,0.1756246364941163,0.04100017068894274,0.28437318414511137,0.007890799019971717,0.03297964223254459,0.06007254621344335,0.2990574610811412
C1,no,Insulin,19.191919191919194,0.06632419658006475,0.007103522935065711,0.17562463274663132,0.04100016582596346,0.2843731720423721,0.007890797717166656,0.032979638870600105,0.060072540466951665,0.2990574509254763
C1,no,Insulin,19.6969696969697,0.0663241912815714,0.007103522192394153,0.1756246302291016,0.04100016268882371,0.28437316391612977,0.007890796840243339,0.032979636717124214,0.06007253668343155,0.2990574441061681
C1,no,Insulin,20.202020202020204,0.06632418720163297,0.007103521620906788,0.1756246282911076,0.04100016027221355,0.2843731576617367,0.00789079616586692,0.03297963504877759,0.06007253404317579,0.29905743885771097
C1,no,Insulin,20.70707070707071,0.06632418427423643,0.007103521211157333,0.1756246269008841,0.041000158520428036,0.28437315317606193,0.00789079568301588,0.032979633825226805,0.060072532502248144,0.2990574350935912
C1,no,Insulin,21.212121212121215,0.06632418273191168,0.0071035209964201975,0.17562462617032334,0.04100015762968705,0.2843731508223832,0.007890795430513377,0.03297963318854578,0.06007253221541344,0.29905743311855193
C1,no,Insulin,21.71717171717172,0.06632418145924299,0.007103520818840601,0.17562462556608296,0.0410001568808375,0.2843731488746516,0.007890795221540358,0.03297963265855686,0.06007253177785525,0.2990574314841496
C1,no,Insulin,22.222222222222225,0.06632418069725422,0.007103520712528493,0.17562462520340993,0.041000156429277124,0.2843731477058393,0.007890795096465498,0.03297963233901892,0.06007253149313245,0.2990574305033702
C1,no,Insulin,22.72727272727273,0.06632418060294873,0.007103520699703145,0.17562462515737626,0.04100015637623222,0.284373147558901,0.00789079508158501,0.03297963229752065,0.06007253155898371,0.2990574303800933
C1,no,Insulin,23.232323232323235,0.0663241799470893,0.00710352060824626,0.17562462484503835,0.041000155987974816,0.28437314655251533,0.007890794974017538,0.0329796320222023,0.06007253132855149,0.2990574295356135
C1,no,Insulin,23.73737373737374,0.06632418024923871,0.007103520650510793,0.175624624987453,0.041000156167788,0.28437314701216965,0.007890795023827668,0.032979632148034045,0.060072531472922235,0.2990574299213339
C1,no,Insulin,24.242424242424242,0.06632418052848973,0.007103520689573307,0.17562462511909246,0.041000156334069726,0.2843731474370457,0.007890795069863918,0.03297963226438583,0.060072531607158516,0.2990574302778699
C1,no,Insulin,24.747474747474747,0.06632418059548986,0.00710352069895548,0.175624625150854,0.0410001563749249,0.28437314753955256,0.007890795080919076,0.03297963229286535,0.06007253164745584,0.2990574303638876
C1,no,Insulin,25.252525252525253,0.06632418066248999,0.007103520708337652,0.17562462518261557,0.04100015641578007,0.2843731476420594,0.007890795091974235,0.032979632321344876,0.060072531687753165,0.29905743044990535
C1,no,Insulin,25.757575757575758,0.06632418072949012,0.007103520717719825,0.1756246252143771,0.04100015645663524,0.2843731477445663,0.007890795103029395,0.03297963234982441,0.06007253172805049,0.2990574305359231
C1,no,Insulin,26.262626262626263,0.06632418079649025,0.007103520727101998,0.17562462524613867,0.04100015649749041,0.2843731478470731,0.007890795114084553,0.03297963237830393,0.06007253176834782,0.2990574306219408
C1,no,Insulin,26.767676767676768,0.06632418086349037,0.007103520736484171,0.1756246252779002,0.041000156538345586,0.28437314794957996,0.007890795125139712,0.032979632406783456,0.06007253180864515,0.29905743070795854
C1,no,Insulin,27.272727272727273,0.0663241809304905,0.007103520745866344,0.17562462530966175,0.04100015657920075,0.2843731480520868,0.007890795136194872,0.03297963243526298,0.06007253184894248,0.2990574307939763
C1,no,Insulin,27.77777777777778,0.06632418099749063,0.007103520755248516,0.1756246253414233,0.041000156620055926,0.2843731481545937,0.00789079514725003,0.032979632463742505,0.0600725318892398,0.299057430879994
C1,no,Insulin,28.282828282828284,0.06632418105863387,0.00710352076381075,0.1756246253704122,0.04100015665734942,0.284373148248152,0.007890795157339014,0.03297963248973828,0.06007253192609022,0.2990574309585027
C1,no,Insulin,28.78787878787879,0.06632418107350403,0.007103520765894943,0.17562462537749554,0.041000156666503404,0.28437314827101196,0.007890795159794593,0.03297963249611075,0.060072531935707815,0.2990574309776852
C1,no,Insulin,29.292929292929294,0.06632418108837419,0.007103520767979136,0.17562462538457885,0.04100015667565739,0.2843731482938719,0.007890795162250172,0.03297963250248323,0.06007253194532542,0.29905743099686777
C1,no,Insulin,29.7979797979798,0.06632418110324435,0.007103520770063329,0.17562462539166218,0.04100015668481137,0.2843731483167318,0.007890795164705752,0.0329796325088557,0.06007253195494302,0.2990574310160503
C1,no,Insulin,30.303030303030305,0.06632418111811451,0.0071035207721475225,0.17562462539874552,0.04100015669396535,0.2843731483395917,0.007890795167161329,0.03297963251522818,0.06007253196456062,0.29905743103523286
C1,no,Insulin,30.80808080808081,0.06632418113298467,0.0071035207742317155,0.17562462540582882,0.041000156703119336,0.28437314836245164,0.007890795169616908,0.03297963252160066,0.06007253197417822,0.29905743105441535
C1,no,Insulin,31.313131313131315,0.06632418114785484,0.007103520776315909,0.17562462541291216,0.04100015671227332,0.2843731483853116,0.007890795172072487,0.03297963252797313,0.06007253198379582,0.2990574310735979
C1,no,Insulin,31.81818181818182,0.066324181162725,0.007103520778400102,0.17562462541999546,0.0410001567214273,0.2843731484081715,0.007890795174528066,0.03297963253434561,0.06007253199341342,0.29905743109278043
C1,no,Insulin,32.323232323232325,0.06632418117578191,0.007103520780230162,0.17562462542621524,0.04100015672946527,0.28437314842824457,0.007890795176684227,0.03297963253994116,0.060072532001859705,0.29905743110962435
C1,no,Insulin,32.82828282828283,0.066324181176411,0.007103520780318415,0.17562462542651636,0.04100015672985415,0.2843731484292163,0.0078907951767882,0.032979632540211745,0.06007253200227787,0.2990574311104398
C1,no,Insulin,33.333333333333336,0.0663241811770401,0.007103520780406669,0.17562462542681745,0.041000156730243036,0.28437314843018807,0.00789079517689217,0.032979632540482334,0.060072532002696036,0.2990574311112552
C1,no,Insulin,33.83838383838384,0.0663241811776692,0.0071035207804949225,0.17562462542711857,0.04100015673063192,0.2843731484311598,0.007890795176996142,0.032979632540752916,0.0600725320031142,0.2990574311120706
C1,no,Insulin,34.343434343434346,0.0663241811782983,0.0071035207805831765,0.1756246254274197,0.04100015673102081,0.2843731484321315,0.007890795177100115,0.0329796325410235,0.060072532003532374,0.299057431112886
C1,no,Insulin,34.84848484848485,0.0663241811789274,0.00710352078067143,0.17562462542772078,0.04100015673140969,0.2843731484331033,0.007890795177204086,0.03297963254129408,0.06007253200395054,0.2990574311137015
C1,no,Insulin,35.35353535353536,0.06632418117955649,0.007103520780759684,0.1756246254280219,0.041000156731798576,0.284373148434075,0.007890795177308058,0.03297963254156467,0.060072532004368705,0.2990574311145169
C1,no,Insulin,35.85858585858586,0.06632418118018558,0.007103520780847937,0.175624625428323,0.04100015673218746,0.28437314843504674,0.007890795177412029,0.03297963254183525,0.06007253200478688,0.2990574311153323
C1,no,Insulin,36.36363636363637,0.06632418118081469,0.007103520780936191,0.17562462542862411,0.04100015673257634,0.2843731484360185,0.007890795177516001,0.032979632542105834,0.06007253200520504,0.2990574311161477
C1,no,Insulin,36.86868686868687,0.06632418118144379,0.007103520781024444,0.1756246254289252,0.04100015673296523,0.28437314843699024,0.007890795177619972,0.032979632542376416,0.06007253200562321,0.29905743111696315
C1,no,Insulin,37.37373737373738,0.06632418118207288,0.007103520781112698,0.17562462542922633,0.041000156733354116,0.284373148437962,0.007890795177723944,0.032979632542647005,0.060072532006041374,0.29905743111777855
C1,no,Insulin,37.87878787878788,0.06632418118270199,0.0071035207812009515,0.17562462542952745,0.041000156733743,0.28437314843893374,0.007890795177827915,0.03297963254291759,0.060072532006459546,0.29905743111859395
C1,no,Insulin,38.38383838383839,0.06632418118333108,0.0071035207812892055,0.17562462542982854,0.04100015673413188,0.28437314843990547,0.007890795177931887,0.03297963254318817,0.06007253200687771,0.2990574311194094
C1,no,Insulin,38.88888888888889,0.06632418118396018,0.007103520781377459,0.17562462543012966,0.04100015673452077,0.28437314844087724,0.00789079517803586,0.03297963254345875,0.06007253200729588,0.2990574311202248
C1,no,Insulin,39.3939393939394,0.06632418118458927,0.007103520781465713,0.17562462543043075,0.04100015673490965,0.28437314844184897,0.00789079517813983,0.032979632543729334,0.06007253200771405,0.2990574311210402
C1,no,Insulin,39.8989898989899,0.06632418118521838,0.007103520781553966,0.17562462543073187,0.04100015673529854,0.2843731484428207,0.007890795178243802,0.03297963254399992,0.060072532008132215,0.2990574311218556
C1,no,Insulin,40.40404040404041,0.06632418118584747,0.00710352078164222,0.17562462543103297,0.041000156735687424,0.28437314844379247,0.007890795178347773,0.032979632544270505,0.06007253200855038,0.2990574311226711
C1,no,Insulin,40.909090909090914,0.06632418118647657,0.007103520781730473,0.17562462543133409,0.04100015673607631,0.2843731484447642,0.007890795178451745,0.03297963254454109,0.06007253200896855,0.2990574311234865
C1,no,Insulin,41.41414141414142,0.06632418118710566,0.007103520781818727,0.1756246254316352,0.04100015673646519,0.28437314844573597,0.007890795178555716,0.03297963254481167,0.06007253200938672,0.2990574311243019
C1,no,Insulin,41.919191919191924,0.06632418118773477,0.0071035207819069805,0.1756246254319363,0.041000156736854074,0.2843731484467077,0.007890795178659689,0.03297963254508226,0.060072532009804884,0.2990574311251173
C1,no,Insulin,42.42424242424243,0.06632418118836386,0.007103520781995234,0.17562462543223742,0.041000156737242964,0.2843731484476794,0.00789079517876366,0.03297963254535284,0.06007253201022305,0.29905743112593275
C1,no,Insulin,42.929292929292934,0.06632418118899296,0.007103520782083488,0.1756246254325385,0.04100015673763185,0.2843731484486512,0.007890795178867632,0.03297963254562342,0.06007253201064122,0.29905743112674815
C1,no,Insulin,43.43434343434344,0.06632418118962206,0.007103520782171741,0.17562462543283963,0.04100015673802073,0.2843731484496229,0.007890795178971604,0.032979632545894005,0.06007253201105939,0.29905743112756356
C1,no,Insulin,43.939393939393945,0.06632418119025116,0.007103520782259995,0.17562462543314072,0.041000156738409614,0.2843731484505947,0.007890795179075575,0.03297963254616459,0.06007253201147755,0.299057431128379
C1,no,Insulin,44.44444444444445,0.06632418119088025,0.007103520782348248,0.17562462543344184,0.0410001567387985,0.2843731484515664,0.007890795179179547,0.03297963254643518,0.060072532011895725,0.2990574311291944
C1,no,Insulin,44.949494949494955,0.06632418119150935,0.007103520782436502,0.17562462543374296,0.04100015673918738,0.28437314845253814,0.007890795179283518,0.03297963254670576,0.06007253201231389,0.2990574311300098
C1,no,Insulin,45.45454545454546,0.06632418119213845,0.007103520782524755,0.17562462543404406,0.04100015673957627,0.2843731484535099,0.00789079517938749,0.03297963254697634,0.060072532012732056,0.2990574311308252
C1,no,Insulin,45.959595959595966,0.06632418119276755,0.0071035207826130094,0.17562462543434518,0.041000156739965155,0.28437314845448164,0.00789079517949146,0.03297963254724692,0.06007253201315023,0.2990574311316407
C1,no,Insulin,46.46464646464647,0.06632418119339664,0.007103520782701263,0.17562462543464627,0.04100015674035404,0.28437314845545336,0.007890795179595433,0.03297963254751751,0.060072532013568394,0.2990574311324561
C1,no,Insulin,46.969696969696976,0.06632418119402574,0.007103520782789517,0.1756246254349474,0.04100015674074292,0.28437314845642514,0.007890795179699404,0.032979632547788094,0.06007253201398656,0.2990574311332715
C1,no,Insulin,47.47474747474748,0.06632418119465484,0.00710352078287777,0.17562462543524848,0.041000156741131805,0.28437314845739686,0.007890795179803376,0.03297963254805868,0.060072532014404725,0.2990574311340869
C1,no,Insulin,47.979797979797986,0.06632418119528394,0.007103520782966024,0.1756246254355496,0.04100015674152069,0.28437314845836864,0.007890795179907347,0.03297963254832926,0.0600725320148229,0.29905743113490235
C1,no,Insulin,48.484848484848484,0.06632418119591303,0.007103520783054277,0.17562462543585072,0.04100015674190958,0.28437314845934036,0.00789079518001132,0.03297963254859984,0.06007253201524106,0.29905743113571776
C1,no,Insulin,48.98989898989899,0.06632418119654214,0.007103520783142531,0.17562462543615182,0.04100015674229846,0.2843731484603121,0.007890795180115292,0.03297963254887043,0.06007253201565923,0.29905743113653316
C1,no,Insulin,49.494949494949495,0.06632418119717123,0.007103520783230784,0.17562462543645294,0.041000156742687345,0.28437314846128386,0.007890795180219262,0.03297963254914101,0.0600725320160774,0.29905743113734856
C1,no,Insulin,50.0,0.06632418119780033,0.007103520783319038,0.17562462543675403,0.04100015674307623,0.2843731484622556,0.007890795180323235,0.032979632549411594,0.06007253201649557,0.299057431138164
