,,,Slide ID,c,e,h,a,g,b,d,f
C1,no,Insulin,4.621848739495799,0.1960613462355332,0.18735491382919228,0.032258778825313174,0.208834475015699,0.25985310282292096,0.15012020232634343,0.19477615384311442,0.16594288231299806
C1,no,Insulin,5.042016806722689,0.19412510033497732,0.1848146770685625,0.03173253469593846,0.20748435757290198,0.2579349718663615,0.14867230759081163,0.1920314207927582,0.16429908649972927
C1,no,Insulin,5.46218487394958,0.19278251285980766,0.18308081131614073,0.031359003993892,0.20655696754473246,0.2565967647114689,0.14767246199883022,0.19009259568038733,0.163165775319315
C1,no,Insulin,5.882352941176471,0.19185369495464183,0.18189556293692838,0.031095749662768436,0.20592085852943018,0.2556685949345138,0.14698419728489093,0.18873198553463272,0.16238570596849997
C1,no,Insulin,6.302521008403361,0.1912123475076474,0.1810845691778894,0.030911282706910553,0.20548489029515463,0.25502750432010174,0.14651137628179497,0.1877819607916076,0.1618493916293912
C1,no,Insulin,6.722689075630252,0.19077019103319032,0.18052933571252808,0.030782620441981025,0.20518622770591527,0.2545860099857007,0.1461869803946749,0.18712123199503508,0.16148097415107188
C1,no,Insulin,7.142857142857143,0.19046574950212705,0.18014908670904836,0.030693212025048364,0.2049816705847671,0.25428259675637943,0.14596459481015817,0.18666312317192169,0.1612280489037284
C1,no,Insulin,7.563025210084033,0.1902563525196384,0.17988863943378838,0.03063126324328417,0.20484159757227607,0.2540743820391811,0.14581222164856097,0.18634628069275266,0.16105450435237614
C1,no,Insulin,7.983193277310924,0.19011245493420567,0.17971024711347147,0.030588443051839262,0.2047456818218951,0.25393164210266095,0.14570785508284184,0.18612757536496802,0.16093547501755046
C1,no,Insulin,8.403361344537815,0.19001363891950215,0.17958805947662293,0.03055889831351384,0.20468002691076295,0.2538338542645352,0.14563638567015336,0.18597684904744016,0.16085387077396987
C1,no,Insulin,8.823529411764707,0.18994582022549897,0.17950437673454445,0.03053854637918736,0.20463506421511926,0.25376689239144995,0.14558744982542582,0.18587310260334405,0.16079793222501948
C1,no,Insulin,9.243697478991598,0.1898993008255776,0.1794470705455646,0.03052454144678747,0.20460430132750168,0.25372105536347317,0.1455539491884932,0.1858017705273003,0.1607596087730875
C1,no,Insulin,9.663865546218487,0.18986740299425028,0.179407830772821,0.03051491571008229,0.20458323612064117,0.25368968446142437,0.14553101543892588,0.18575276474900534,0.16073335032113328
C1,no,Insulin,10.084033613445378,0.18984554051849,0.1793809659049727,0.0305083049541226,0.20456881734324814,0.25366821911769927,0.1455153184541898,0.18571912366885532,0.1607153662261999
C1,no,Insulin,10.504201680672269,0.18983056110644947,0.17936257582387452,0.03050376789452513,0.2045589509667965,0.2536535333066623,0.1455045755613613,0.1856960442095768,0.16070305182221697
C1,no,Insulin,10.92436974789916,0.18982030007678188,0.1793499879552962,0.030500655714446066,0.20455219925296494,0.2536434862218017,0.14549722348902125,0.18568021781710176,0.16069462066784454
C1,no,Insulin,11.344537815126051,0.18981327247146237,0.17934137213194182,0.030498521843740797,0.20454757903191478,0.25363661273436594,0.14549219209885564,0.18566936913857543,0.16068884875219291
C1,no,Insulin,11.764705882352942,0.1898084564639026,0.1793354707763558,0.030497058163713297,0.20454441501676238,0.2536319067800764,0.14548874630739642,0.1856619292506471,0.1606848946471067
C1,no,Insulin,12.184873949579831,0.18980515673808374,0.17933142916446443,0.030496054549973676,0.20454224844028565,0.25362868506705255,0.14548638666055935,0.18565682873954775,0.1606821862536036
C1,no,Insulin,12.605042016806722,0.18980290221364313,0.17932866885885257,0.030495368357412022,0.20454076885351635,0.2536264854881009,0.14548477523219253,0.18565334195182298,0.1606803362514356
C1,no,Insulin,13.025210084033613,0.18980135827217717,0.17932677908365555,0.03049489820953806,0.20453975604601485,0.2536249800317671,0.14548367208220345,0.18565095322295014,0.16067906957885497
C1,no,Insulin,13.445378151260504,0.1898003009734515,0.17932548525139264,0.03049457611999996,0.2045390627771842,0.25362394958430684,0.14548291686049125,0.1856493168998536,0.1606782023056747
C1,no,Insulin,13.865546218487395,0.18979957699913594,0.17932459954598715,0.030494355481771717,0.2045385880432207,0.2536232443098093,0.14548239987758532,0.18564819608729885,0.1606776085369498
C1,no,Insulin,14.285714285714286,0.18979908268767592,0.17932399495403228,0.03049420478593092,0.20453826371243494,0.2536227629560287,0.14548204697718647,0.185647430616346,0.16067720315255749
C1,no,Insulin,14.705882352941178,0.18979874452906736,0.17932358135698392,0.030494101680254185,0.20453804210158089,0.2536224337595994,0.14548180559430077,0.18564690689796978,0.16067692586042687
C1,no,Insulin,15.126050420168067,0.1897985127542207,0.17932329787208978,0.030494030989418084,0.20453789097701444,0.2536222081785987,0.14548164018148607,0.1856465478956037,0.16067673589278897
C1,no,Insulin,15.546218487394958,0.1897983538128113,0.17932310353754716,0.030493982495774296,0.20453778743412074,0.2536220534991401,0.14548152675504933,0.18564630165937093,0.16067660563958475
C1,no,Insulin,15.966386554621849,0.18979824538486206,0.1793229710166194,0.03049394942875773,0.20453771554205177,0.25362194799713345,0.14548144936744473,0.1856461336638832,0.16067651666272598
C1,no,Insulin,16.386554621848738,0.1897981713508438,0.17932288049951806,0.030493926877547105,0.2045376646838487,0.2536218760062355,0.14548139654481224,0.1856460189574882,0.160676455789422
C1,no,Insulin,16.80672268907563,0.18979812251199146,0.17932282078877526,0.030493911999871316,0.20453763105485118,0.2536218285266068,0.1454813617046647,0.18564594327889414,0.16067641563030688
C1,no,Insulin,17.22689075630252,0.18979808948678112,0.17932278042470115,0.030493901911253035,0.20453761018249877,0.2536217963996098,0.14548133814132758,0.18564589209648105,0.16067638860620825
C1,no,Insulin,17.647058823529413,0.18979806781444133,0.17932275393354216,0.030493895276049798,0.20453759740628716,0.2536217753110276,0.14548132268140282,0.18564585850351767,0.16067637094622442
C1,no,Insulin,18.067226890756302,0.18979805268301042,0.17932273543353125,0.030493890642340055,0.20453758848788445,0.25362176058851643,0.14548131189032837,0.18564583504831694,0.1606763586248242
C1,no,Insulin,18.487394957983195,0.1897980419602029,0.17932272231885496,0.03049388735700605,0.20453758225260946,0.2536217501554056,0.14548130424547473,0.18564581842693129,0.16067634990569502
C1,no,Insulin,18.907563025210084,0.18979803402944215,0.17932271261823624,0.030493884931087463,0.20453757737669423,0.2536217424412963,0.1454812985914048,0.1856458061346206,0.160676343437953
C1,no,Insulin,19.327731092436974,0.18979802745400515,0.1793227045754661,0.030493882923402764,0.20453757311422693,0.2536217360469248,0.14548129390288272,0.18564579594449315,0.1606763380575072
C1,no,Insulin,19.747899159663866,0.18979802317852595,0.17932269934545214,0.03049388161972857,0.2045375702368534,0.253621731890151,0.14548129085423475,0.1856457893193355,0.16067633455065744
C1,no,Insulin,20.168067226890756,0.1897980195422687,0.17932269489855654,0.030493880511310772,0.20453756777762722,0.25362172835477736,0.1454812882607478,0.18564578368475168,0.16067633156538616
C1,no,Insulin,20.58823529411765,0.18979801675175587,0.17932269148677932,0.030493879660621177,0.20453756590100894,0.25362172564154395,0.14548128627008544,0.18564577936059057,0.16067632927408035
C1,no,Insulin,21.008403361344538,0.18979801449746184,0.17932268873178753,0.030493878973751533,0.20453756437166923,0.2536217234496187,0.14548128466131746,0.18564577586739714,0.16067632742030402
C1,no,Insulin,21.42857142857143,0.1897980128109896,0.17932268667055482,0.030493878459578478,0.20453756324212088,0.2536217218097864,0.14548128345797268,0.18564577325391607,0.16067632603516507
C1,no,Insulin,21.84873949579832,0.1897980116761801,0.1793226852841762,0.030493878113563282,0.2045375624855135,0.2536217207063065,0.14548128264802052,0.18564577149522363,0.16067632510275767
C1,no,Insulin,22.26890756302521,0.18979801041650454,0.17932268374485325,0.030493877729469848,0.2045375616443649,0.2536217194814506,0.14548128174912134,0.18564576954306328,0.16067632406812515
C1,no,Insulin,22.689075630252102,0.18979801017622844,0.17932268345156083,0.03049387765602377,0.20453756149169733,0.2536217192478305,0.14548128157765475,0.18564576917048634,0.16067632387137015
C1,no,Insulin,23.10924369747899,0.18979801003290356,0.17932268327658776,0.030493877612218296,0.20453756140015944,0.25362171910848785,0.1454812814753892,0.18564576894824308,0.16067632375399735
C1,no,Insulin,23.529411764705884,0.189798009961342,0.17932268318919473,0.030493877590352818,0.2045375613538698,0.2536217190389295,0.1454812814243463,0.18564576883727693,0.16067632369538334
C1,no,Insulin,23.949579831932773,0.18979800988978043,0.1793226831018017,0.030493877568487343,0.20453756130758013,0.25362171896937113,0.1454812813733034,0.18564576872631078,0.16067632363676934
C1,no,Insulin,24.369747899159663,0.1897980098182189,0.17932268301440865,0.03049387754662187,0.20453756126129047,0.2536217188998128,0.14548128132226051,0.18564576861534463,0.16067632357815534
C1,no,Insulin,24.789915966386555,0.18979800974665734,0.17932268292701561,0.030493877524756394,0.20453756121500083,0.25362171883025436,0.1454812812712176,0.18564576850437847,0.16067632351954134
C1,no,Insulin,25.210084033613445,0.18979800967509577,0.17932268283962258,0.03049387750289092,0.20453756116871116,0.253621718760696,0.1454812812201747,0.18564576839341232,0.16067632346092733
C1,no,Insulin,25.630252100840337,0.18979800962199475,0.1793226827747715,0.030493877486666612,0.20453756113432697,0.2536217187090824,0.14548128118230033,0.185645768311072,0.1606763234174326
C1,no,Insulin,26.050420168067227,0.18979800960067814,0.17932268274873217,0.030493877480155016,0.20453756112044105,0.2536217186883653,0.14548128116709888,0.18564576827801824,0.16067632339996957
C1,no,Insulin,26.47058823529412,0.18979800957936152,0.1793226827226928,0.030493877473643415,0.2045375611065551,0.25362171866764815,0.1454812811518974,0.1856457682449645,0.1606763233825065
C1,no,Insulin,26.89075630252101,0.18979800955804493,0.17932268269665347,0.030493877467131815,0.20453756109266916,0.253621718646931,0.14548128113669595,0.18564576821191076,0.16067632336504345
C1,no,Insulin,27.310924369747898,0.18979800953672832,0.17932268267061413,0.030493877460620215,0.20453756107878324,0.25362171862621385,0.14548128112149447,0.185645768178857,0.1606763233475804
C1,no,Insulin,27.73109243697479,0.1897980095154117,0.17932268264457477,0.030493877454108614,0.2045375610648973,0.25362171860549676,0.14548128110629302,0.18564576814580325,0.16067632333011736
C1,no,Insulin,28.15126050420168,0.1897980094973175,0.17932268262247175,0.03049387744858138,0.20453756105311008,0.2536217185879114,0.14548128109338954,0.18564576811774622,0.16067632331529416
C1,no,Insulin,28.571428571428573,0.18979800949611908,0.17932268262100753,0.030493877448215363,0.20453756105232695,0.2536217185867467,0.14548128109253497,0.18564576811588798,0.16067632331431222
C1,no,Insulin,28.991596638655462,0.18979800949492065,0.17932268261954334,0.030493877447849344,0.20453756105154383,0.253621718585582,0.1454812810916804,0.18564576811402975,0.1606763233133303
C1,no,Insulin,29.411764705882355,0.18979800949372222,0.17932268261807913,0.030493877447483327,0.2045375610507607,0.2536217185844174,0.1454812810908258,0.1856457681121715,0.16067632331234838
C1,no,Insulin,29.831932773109244,0.1897980094925238,0.1793226826166149,0.030493877447117308,0.20453756104997756,0.2536217185832527,0.14548128108997124,0.1856457681103133,0.16067632331136644
C1,no,Insulin,30.252100840336134,0.18979800949132533,0.17932268261515072,0.03049387744675129,0.20453756104919443,0.25362171858208804,0.14548128108911668,0.18564576810845507,0.1606763233103845
C1,no,Insulin,30.672268907563026,0.1897980094901269,0.1793226826136865,0.03049387744638527,0.2045375610484113,0.25362171858092336,0.1454812810882621,0.18564576810659683,0.16067632330940257
C1,no,Insulin,31.092436974789916,0.18979800948892847,0.1793226826122223,0.030493877446019255,0.20453756104762816,0.2536217185797587,0.14548128108740754,0.1856457681047386,0.16067632330842063
C1,no,Insulin,31.51260504201681,0.18979800948773004,0.1793226826107581,0.030493877445653236,0.20453756104684503,0.253621718578594,0.14548128108655295,0.18564576810288036,0.1606763233074387
C1,no,Insulin,31.932773109243698,0.1897980094865316,0.17932268260929388,0.03049387744528722,0.2045375610460619,0.2536217185774294,0.14548128108569838,0.18564576810102212,0.1606763233064568
C1,no,Insulin,32.35294117647059,0.18979800948533315,0.1793226826078297,0.0304938774449212,0.20453756104527876,0.2536217185762647,0.14548128108484382,0.1856457680991639,0.16067632330547485
C1,no,Insulin,32.773109243697476,0.18979800948413472,0.17932268260636547,0.030493877444555183,0.20453756104449564,0.2536217185751,0.14548128108398925,0.18564576809730565,0.1606763233044929
C1,no,Insulin,33.19327731092437,0.1897980094829363,0.17932268260490125,0.030493877444189167,0.2045375610437125,0.25362171857393534,0.14548128108313468,0.18564576809544744,0.16067632330351098
C1,no,Insulin,33.61344537815126,0.18979800948173786,0.17932268260343706,0.030493877443823147,0.2045375610429294,0.25362171857277066,0.1454812810822801,0.1856457680935892,0.16067632330252904
C1,no,Insulin,34.03361344537815,0.18979800948053943,0.17932268260197284,0.03049387744345713,0.20453756104214624,0.25362171857160604,0.14548128108142552,0.18564576809173097,0.1606763233015471
C1,no,Insulin,34.45378151260504,0.189798009479341,0.17932268260050865,0.03049387744309111,0.20453756104136311,0.25362171857044136,0.14548128108057096,0.18564576808987274,0.1606763233005652
C1,no,Insulin,34.87394957983194,0.18979800947814254,0.17932268259904444,0.030493877442725095,0.20453756104058,0.2536217185692767,0.1454812810797164,0.1856457680880145,0.16067632329958326
C1,no,Insulin,35.294117647058826,0.1897980094769441,0.17932268259758022,0.030493877442359076,0.20453756103979684,0.253621718568112,0.14548128107886182,0.18564576808615627,0.16067632329860132
C1,no,Insulin,35.714285714285715,0.18979800947574568,0.17932268259611603,0.03049387744199306,0.20453756103901372,0.2536217185669473,0.14548128107800723,0.18564576808429803,0.16067632329761938
C1,no,Insulin,36.134453781512605,0.18979800947454725,0.1793226825946518,0.03049387744162704,0.2045375610382306,0.2536217185657827,0.14548128107715266,0.18564576808243982,0.16067632329663745
C1,no,Insulin,36.554621848739494,0.18979800947334882,0.17932268259318762,0.030493877441261023,0.20453756103744747,0.253621718564618,0.1454812810762981,0.18564576808058159,0.1606763232956555
C1,no,Insulin,36.97478991596639,0.18979800947215036,0.1793226825917234,0.030493877440895004,0.20453756103666432,0.25362171856345334,0.14548128107544353,0.18564576807872335,0.16067632329467357
C1,no,Insulin,37.39495798319328,0.18979800947095193,0.17932268259025919,0.030493877440528987,0.2045375610358812,0.25362171856228866,0.14548128107458896,0.18564576807686511,0.16067632329369166
C1,no,Insulin,37.81512605042017,0.1897980094697535,0.179322682588795,0.03049387744016297,0.20453756103509807,0.253621718561124,0.14548128107373437,0.18564576807500688,0.16067632329270973
C1,no,Insulin,38.23529411764706,0.18979800946855507,0.17932268258733078,0.03049387743979695,0.20453756103431492,0.2536217185599593,0.1454812810728798,0.18564576807314864,0.1606763232917278
C1,no,Insulin,38.65546218487395,0.18979800946735664,0.17932268258586656,0.030493877439430935,0.2045375610335318,0.2536217185587947,0.14548128107202524,0.1856457680712904,0.16067632329074585
C1,no,Insulin,39.075630252100844,0.1897980094661582,0.17932268258440237,0.030493877439064915,0.20453756103274867,0.25362171855763,0.14548128107117067,0.1856457680694322,0.16067632328976392
C1,no,Insulin,39.49579831932773,0.18979800946495975,0.17932268258293815,0.0304938774386989,0.20453756103196555,0.2536217185564653,0.1454812810703161,0.18564576806757396,0.16067632328878198
C1,no,Insulin,39.91596638655462,0.18979800946376132,0.17932268258147396,0.03049387743833288,0.2045375610311824,0.25362171855530063,0.1454812810694615,0.18564576806571573,0.16067632328780007
C1,no,Insulin,40.33613445378151,0.1897980094625629,0.17932268258000975,0.030493877437966863,0.20453756103039927,0.25362171855413596,0.14548128106860694,0.1856457680638575,0.16067632328681813
C1,no,Insulin,40.7563025210084,0.18979800946136446,0.17932268257854553,0.030493877437600844,0.20453756102961615,0.25362171855297133,0.14548128106775238,0.18564576806199926,0.1606763232858362
C1,no,Insulin,41.1764705882353,0.18979800946016603,0.17932268257708134,0.030493877437234827,0.204537561028833,0.25362171855180665,0.1454812810668978,0.18564576806014102,0.16067632328485426
C1,no,Insulin,41.596638655462186,0.1897980094589676,0.17932268257561712,0.03049387743686881,0.20453756102804987,0.253621718550642,0.14548128106604324,0.18564576805828278,0.16067632328387232
C1,no,Insulin,42.016806722689076,0.18979800945776915,0.17932268257415293,0.03049387743650279,0.20453756102726675,0.2536217185494773,0.14548128106518865,0.18564576805642455,0.1606763232828904
C1,no,Insulin,42.436974789915965,0.18979800945657072,0.1793226825726887,0.030493877436136775,0.20453756102648363,0.2536217185483126,0.14548128106433408,0.18564576805456634,0.16067632328190848
C1,no,Insulin,42.85714285714286,0.18979800945537229,0.1793226825712245,0.030493877435770755,0.20453756102570048,0.253621718547148,0.14548128106347952,0.1856457680527081,0.16067632328092654
C1,no,Insulin,43.27731092436975,0.18979800945417385,0.1793226825697603,0.03049387743540474,0.20453756102491735,0.2536217185459833,0.14548128106262495,0.18564576805084987,0.1606763232799446
C1,no,Insulin,43.69747899159664,0.18979800945297542,0.1793226825682961,0.03049387743503872,0.20453756102413423,0.25362171854481863,0.14548128106177038,0.18564576804899163,0.16067632327896267
C1,no,Insulin,44.11764705882353,0.18979800945177697,0.1793226825668319,0.030493877434672703,0.20453756102335108,0.25362171854365395,0.1454812810609158,0.1856457680471334,0.16067632327798073
C1,no,Insulin,44.53781512605042,0.18979800945057854,0.17932268256536768,0.030493877434306683,0.20453756102256795,0.25362171854248927,0.14548128106006122,0.18564576804527516,0.1606763232769988
C1,no,Insulin,44.957983193277315,0.1897980094493801,0.17932268256390346,0.030493877433940667,0.20453756102178483,0.2536217185413246,0.14548128105920666,0.18564576804341693,0.16067632327601689
C1,no,Insulin,45.378151260504204,0.18979800944818168,0.17932268256243927,0.030493877433574648,0.2045375610210017,0.25362171854015997,0.1454812810583521,0.18564576804155872,0.16067632327503495
C1,no,Insulin,45.79831932773109,0.18979800944698325,0.17932268256097506,0.03049387743320863,0.20453756102021856,0.2536217185389953,0.14548128105749752,0.18564576803970048,0.160676323274053
C1,no,Insulin,46.21848739495798,0.18979800944578482,0.17932268255951084,0.030493877432842615,0.20453756101943543,0.2536217185378306,0.14548128105664293,0.18564576803784225,0.16067632327307108
C1,no,Insulin,46.63865546218487,0.18979800944458636,0.17932268255804665,0.030493877432476595,0.2045375610186523,0.25362171853666593,0.14548128105578836,0.185645768035984,0.16067632327208914
C1,no,Insulin,47.05882352941177,0.18979800944445763,0.17932268255788933,0.03049387743243728,0.20453756101856813,0.2536217185365408,0.14548128105569658,0.1856457680357844,0.16067632327198364
C1,no,Insulin,47.47899159663866,0.18979800944439026,0.17932268255780698,0.030493877432416702,0.20453756101852405,0.2536217185364753,0.14548128105564853,0.18564576803567992,0.16067632327192843
C1,no,Insulin,47.89915966386555,0.18979800944432287,0.17932268255772466,0.030493877432396125,0.20453756101847997,0.25362171853640986,0.1454812810556005,0.18564576803557545,0.16067632327187323
C1,no,Insulin,48.319327731092436,0.18979800944425548,0.17932268255764233,0.03049387743237555,0.2045375610184359,0.25362171853634435,0.14548128105555244,0.18564576803547098,0.160676323271818
C1,no,Insulin,48.739495798319325,0.18979800944418812,0.17932268255755998,0.030493877432354974,0.20453756101839182,0.25362171853627885,0.14548128105550437,0.1856457680353665,0.1606763232717628
C1,no,Insulin,49.15966386554622,0.18979800944412073,0.17932268255747766,0.030493877432334397,0.20453756101834775,0.2536217185362134,0.14548128105545632,0.185645768035262,0.16067632327170758
C1,no,Insulin,49.57983193277311,0.18979800944405334,0.17932268255739534,0.03049387743231382,0.20453756101830367,0.2536217185361479,0.14548128105540828,0.18564576803515753,0.16067632327165238
C1,no,Insulin,50.0,0.18979800944398598,0.17932268255731298,0.030493877432293242,0.20453756101825957,0.2536217185360824,0.14548128105536023,0.18564576803505306,0.16067632327159714
